ID,STATES,BUDGET 
1,Alabama,23484.59
2,Alaska,7145.8
3,Arizona,28435.4
4,Arkansas,15945.6
5,California,244317.3
6,Colorado,24948.5
7,Conneticut,17387.6
8,Delaware,6966.1
9,Florida ,81408.7
10,Georgia ,35182.1
11,Hawaii,11128.6
12,Idaho,6667.7
13,Illinois,53361
14,Indiana,28787.5
15,Iowa,16918.9
16,Kansas,13710.1
17,Kentucky,26936
18,Louisana,23910.6
19,Maine,6830
20,Maryland ,31753.6
21,Massachusettes,48724.2
22,Michigan ,48318.7
23,Minnesota,30622.6
24,Mississippi,14973.9
25,Missouri,24998.5
26,Montana,5542.6
27,Nebraska,6975.7
28,Nevada,11064.2
29,New Hampshire,4986.6
30,New Jersey,55878.4
31,New Mexico,14113.3
32,New York,130860.3
33,North Carolina,41808.6
34,North Dakota,4258.2
35,Ohio,63644
36,Oklahoma,17417.8
37,Oregon,28576.8
38,Pennsylvania,73382.6
39,Rhode Island,6740.9
40,South Carolina,24041.4
41,South Dakota,3520.2
42,Tennessee,23638
43,Texas,118795.2
44,Utah,15153.5
45,Vermont,4228.4
46,Virginia,39790.1
47,Washington,38481.8
48,West Virginia,10508.1
49,Wisconsin,28434.7
50,Wyoming,3464.3
